Year,WHO region,Country,Alcohol type,Numeric
1992,Europe,Switzerland,Beer,3.99
1999,Africa,Cameroon,All types,2.3
1993,Europe,Poland,Spirits,5.15
1985,Africa,Kenya,Other alcoholic beverages,0.57
1992,Americas,Bolivia (Plurinational State of),Beer,1.36
1982,Europe,Belarus,Beer,
1991,Africa,Uganda,Other alcoholic beverages,7.73
1987,Americas,Ecuador,Wine,0.05
1997,Europe,Belarus,Beer,1.14
1994,Europe,Albania,Wine,0.68
1994,Americas,Nicaragua,Wine,0.01
1990,Americas,Guatemala,Wine,0.01
1994,Africa,Mauritius,Beer,1.77
1987,Africa,Comoros,Wine,0.05
1983,South-East Asia,India,Beer,0.02
1981,Europe,Italy,Other alcoholic beverages,
1998,Africa,Mozambique,Spirits,0.24
1995,Africa,Côte d'Ivoire,All types,4.6
1993,Americas,Guatemala,Beer,0.65
1983,Americas,Mexico,Spirits,1.57
1986,Americas,Costa Rica,Other alcoholic beverages,0
1991,Eastern Mediterranean,Afghanistan,Other alcoholic beverages,0
1985,Europe,Romania,All types,10.09
1985,Africa,Ghana,Other alcoholic beverages,1.3
1998,Africa,Burkina Faso,Beer,0.48
1991,Africa,Gambia,All types,1.45
1997,Africa,Madagascar,Wine,0.09
1995,Eastern Mediterranean,Libya,All types,0
1998,Europe,Switzerland,Other alcoholic beverages,0.12
1981,Europe,Iceland,Other alcoholic beverages,0.01
1992,Europe,Turkmenistan,Wine,0.42
1997,Africa,South Africa,Spirits,1.8
1981,Americas,Chile,Beer,1.33
1992,Eastern Mediterranean,Afghanistan,Beer,0
1987,Western Pacific,Vanuatu,All types,1.44
1985,Western Pacific,Papua New Guinea,Spirits,0.07
1998,Africa,Mozambique,Wine,0.08
1994,Americas,Belize,All types,5.55
1982,Europe,Hungary,All types,16.82
1984,Europe,Turkey,All types,1
1993,Africa,Central African Republic,Beer,0.89
1995,Americas,United States of America,Other alcoholic beverages,
1985,Africa,Algeria,Spirits,0.01
1995,Europe,Ukraine,Other alcoholic beverages,0.02
1980,South-East Asia,Sri Lanka,Other alcoholic beverages,0
1998,Western Pacific,Singapore,All types,2.09
1990,Africa,Seychelles,Spirits,0.64
1994,Africa,Eritrea,Wine,0
1995,Europe,Spain,Other alcoholic beverages,0
1998,Americas,Honduras,All types,2.57
1991,Europe,Belgium,Other alcoholic beverages,0
1997,Western Pacific,Cook Islands,Wine,0.5
1980,Africa,United Republic of Tanzania,Spirits,0.14
1995,Americas,Canada,Spirits,1.9
1988,Americas,Jamaica,Other alcoholic beverages,0
1982,Europe,Israel,Wine,0.58
1996,Europe,Hungary,Beer,4.29
1993,South-East Asia,Myanmar,All types,0.22
1982,Africa,Algeria,Spirits,0.02
1986,Western Pacific,Japan,All types,7.21
1988,Americas,Panama,Other alcoholic beverages,0
1993,Europe,Latvia,Wine,1.59
1981,Europe,Italy,Beer,1.15
1994,South-East Asia,Thailand,Beer,0.59
1989,Africa,Ghana,All types,1.49
1982,Eastern Mediterranean,Yemen,All types,0.3
1993,Europe,Ukraine,Wine,0.45
1991,Africa,Benin,All types,0.77
1989,Americas,Guatemala,Spirits,1.83
1993,Eastern Mediterranean,Tunisia,Other alcoholic beverages,0
1982,Africa,Guinea-Bissau,Wine,0.18
1992,Western Pacific,Kiribati,Beer,0.5
1993,Africa,Sao Tome and Principe,Other alcoholic beverages,0
1989,Americas,Venezuela (Bolivarian Republic of),Beer,4.24
1981,Europe,Netherlands,All types,11.25
1997,Europe,Malta,Spirits,1.64
1998,Western Pacific,Samoa,Other alcoholic beverages,0
1989,Europe,Finland,Beer,4.55
1981,Western Pacific,Vanuatu,Other alcoholic beverages,
1989,Africa,Democratic Republic of the Congo,Other alcoholic beverages,1.66
1994,Eastern Mediterranean,Lebanon,Wine,1.37
1980,Eastern Mediterranean,Qatar,Other alcoholic beverages,0
1981,Europe,United Kingdom of Great Britain and Northern Ireland,Spirits,2.11
1982,Western Pacific,Australia,Wine,3.21
1992,Americas,Ecuador,All types,2.44
1983,Eastern Mediterranean,Oman,Beer,0.16
1993,Europe,Ireland,All types,11.68
1990,Europe,Germany,Wine,3.73
1982,Africa,Comoros,All types,0.16
1995,South-East Asia,Sri Lanka,Other alcoholic beverages,0
1983,Eastern Mediterranean,Afghanistan,Spirits,0
1997,Europe,Malta,Beer,2.68
1987,Africa,Angola,Beer,0.91
1998,Americas,Haiti,Other alcoholic beverages,0
1996,Eastern Mediterranean,Saudi Arabia,Beer,0.06
1996,Europe,Finland,Wine,1.48
1987,Africa,Seychelles,Wine,0.5
1992,Americas,Dominican Republic,Spirits,3.84
1991,Americas,Peru,Wine,0.11
1993,Eastern Mediterranean,Djibouti,Beer,0.4
1985,Europe,Ireland,Wine,0.6
1980,Europe,Albania,Spirits,0.91
1983,Americas,Saint Kitts and Nevis,Wine,0.28
1986,Africa,Benin,Wine,0.12
1994,Eastern Mediterranean,Tunisia,All types,1.05
1991,Western Pacific,Philippines,Beer,0.9
1980,Africa,Swaziland,Beer,0
1989,Americas,El Salvador,Other alcoholic beverages,
1981,South-East Asia,India,Beer,0.02
1980,South-East Asia,Indonesia,All types,0.08
1998,Western Pacific,Solomon Islands,All types,0.24
1989,Americas,Saint Kitts and Nevis,Spirits,1.76
1986,Eastern Mediterranean,Sudan,Wine,0
1999,Western Pacific,Solomon Islands,Wine,0.04
1982,Americas,Paraguay,All types,6.8
1984,Americas,Ecuador,Wine,0.02
1997,Western Pacific,Marshall Islands,Beer,
1987,Africa,Cabo Verde,All types,3.36
1987,Europe,Finland,Wine,0.89
1987,Europe,Norway,Wine,0.93
1994,Western Pacific,Fiji,Wine,0.12
1985,Western Pacific,Kiribati,Other alcoholic beverages,0
1981,South-East Asia,Nepal,Beer,0.01
1988,Eastern Mediterranean,Saudi Arabia,Beer,0.21
1993,Europe,Norway,Wine,0.92
1988,Africa,Angola,All types,1.89
1988,Africa,Gabon,Other alcoholic beverages,
1990,South-East Asia,Indonesia,Other alcoholic beverages,0
1996,South-East Asia,Sri Lanka,Spirits,0.15
1997,Americas,Panama,Other alcoholic beverages,0.03
1985,Americas,Haiti,Other alcoholic beverages,0
1990,Europe,Finland,All types,9.53
1987,Africa,Côte d'Ivoire,Wine,1.01
1985,Americas,Honduras,Beer,0.94
1998,Americas,Nicaragua,Spirits,1.98
1997,Americas,Dominica,Wine,0.81
1981,Europe,Luxembourg,Other alcoholic beverages,
1982,Africa,Eritrea,All types,0.58
1994,Western Pacific,Brunei Darussalam,Other alcoholic beverages,0.4
1992,Western Pacific,Micronesia (Federated States of),Other alcoholic beverages,0
1988,Africa,Namibia,Spirits,0
1997,Americas,Cuba,Beer,0.86
1994,Eastern Mediterranean,Kuwait,Wine,0
1996,Europe,Cyprus,Spirits,3.04
1990,Europe,Luxembourg,Beer,5.56
1995,Africa,Kenya,Beer,1
1984,Europe,Cyprus,Other alcoholic beverages,0
1991,Africa,Eritrea,Beer,0.06
1993,Europe,Belgium,Other alcoholic beverages,0
1996,Africa,Kenya,All types,1.82
1994,South-East Asia,Bhutan,Wine,0
1981,Eastern Mediterranean,Djibouti,All types,1.91
1982,Western Pacific,Australia,All types,13.05
1996,Eastern Mediterranean,Iran (Islamic Republic of),All types,0
1988,Europe,Iceland,Spirits,3.5
1983,Americas,Trinidad and Tobago,Spirits,3.08
1980,Eastern Mediterranean,United Arab Emirates,Beer,0.33
1999,Western Pacific,Cambodia,All types,1.91
1992,Eastern Mediterranean,Libya,All types,0
1989,Europe,United Kingdom of Great Britain and Northern Ireland,Wine,1.78
1987,Africa,Cabo Verde,Spirits,0.46
1997,Europe,Latvia,Beer,1.62
1982,Western Pacific,Singapore,Spirits,0.97
1980,Eastern Mediterranean,Iraq,Beer,0.21
1993,Eastern Mediterranean,Libya,Beer,0
1987,Europe,Latvia,All types,5.75
1999,Europe,Denmark,Other alcoholic beverages,
1983,Americas,Haiti,All types,5.26
1990,South-East Asia,India,Other alcoholic beverages,0
1986,Western Pacific,Singapore,Wine,0.07
1987,Africa,Swaziland,Other alcoholic beverages,2.15
1980,Americas,El Salvador,Spirits,2.04
1984,Eastern Mediterranean,Saudi Arabia,All types,0.4
1993,Americas,Nicaragua,Other alcoholic beverages,0
1982,Europe,Ukraine,Spirits,2.8
1995,Western Pacific,Tonga,Other alcoholic beverages,0
1996,Western Pacific,Marshall Islands,Other alcoholic beverages,
1980,Americas,Bolivia (Plurinational State of),Other alcoholic beverages,0
1998,Western Pacific,Cambodia,Wine,0
1991,Americas,Honduras,Beer,1.22
1993,Africa,Liberia,Other alcoholic beverages,
1991,Africa,Mauritania,Spirits,0.04
1987,Americas,Chile,Spirits,2.59
1989,Americas,Venezuela (Bolivarian Republic of),Other alcoholic beverages,
1992,Eastern Mediterranean,Syrian Arab Republic,Beer,0.07
1980,Europe,Bulgaria,Spirits,4.05
1999,Western Pacific,Philippines,Beer,0.85
1998,Africa,Guinea-Bissau,Beer,0.29
1991,Africa,Botswana,Beer,2.03
1991,Africa,Niger,Other alcoholic beverages,0
1992,Europe,San Marino,All types,
1980,Europe,Norway,Wine,0.75
1991,Africa,Uganda,Wine,0
1982,Western Pacific,Japan,Beer,2.43
1983,Africa,Gambia,Beer,0.06
1984,Africa,Swaziland,All types,7.66
1997,Americas,Canada,All types,7.2
1993,Americas,Brazil,All types,4.92
1991,Western Pacific,Marshall Islands,Wine,
1983,Europe,Latvia,Other alcoholic beverages,0.16
1984,Americas,Saint Lucia,Spirits,6.75
1988,Europe,Sweden,Spirits,2.29
1980,Africa,Mauritius,All types,3.02
1996,Eastern Mediterranean,Libya,All types,0
1996,Eastern Mediterranean,United Arab Emirates,Wine,0.17
1989,Europe,Finland,All types,9.42
1987,Western Pacific,Philippines,All types,4.42
1995,Europe,Croatia,All types,10.91
1983,Americas,Ecuador,Spirits,1.2
1992,Africa,Benin,Spirits,0.29
1996,South-East Asia,Timor-Leste,Beer,0.33
1991,Americas,Venezuela (Bolivarian Republic of),Spirits,3.65
1980,Europe,Luxembourg,Other alcoholic beverages,
1991,Americas,Mexico,Wine,0.02
1998,Africa,Guinea,Beer,0.14
1986,Eastern Mediterranean,United Arab Emirates,All types,6.74
1995,Europe,Sweden,Wine,1.71
1980,Europe,Hungary,All types,16.88
1985,Africa,Lesotho,All types,2.55
1989,Americas,Guatemala,Other alcoholic beverages,0
1982,Americas,Saint Kitts and Nevis,Other alcoholic beverages,0
1993,Europe,Belarus,Spirits,7.87
1993,Eastern Mediterranean,Sudan,Beer,0
1993,Eastern Mediterranean,Egypt,Beer,0.05
1985,Western Pacific,Australia,Other alcoholic beverages,0
1980,Africa,Nigeria,Beer,0.65
1983,Eastern Mediterranean,United Arab Emirates,Spirits,11.91
1989,Western Pacific,Vanuatu,Beer,0.65
1999,Africa,Algeria,Other alcoholic beverages,0
1997,Africa,Congo,Wine,0.31
1983,Africa,Uganda,Spirits,0.22
1981,Africa,Uganda,Wine,0
1999,Africa,Rwanda,All types,6.18
1992,Europe,Georgia,All types,6.76
1998,Europe,Belgium,Other alcoholic beverages,0
1980,Africa,Kenya,Other alcoholic beverages,0.75
1996,Europe,United Kingdom of Great Britain and Northern Ireland,Beer,5.29
1996,Europe,Austria,Beer,6.8
1990,Eastern Mediterranean,Saudi Arabia,Spirits,0
1993,Europe,Switzerland,All types,12.33
1998,Europe,Azerbaijan,All types,1.7
1986,Africa,Central African Republic,Other alcoholic beverages,1.14
1999,Europe,Uzbekistan,Wine,0.47
1999,Africa,Mauritania,Wine,0.01
1999,Americas,Cuba,All types,3.97
1995,Americas,Argentina,Other alcoholic beverages,0
1983,Americas,Argentina,All types,14.49
1993,Europe,The former Yugoslav republic of Macedonia,All types,5.09
1987,Europe,Latvia,Other alcoholic beverages,0
1997,Europe,Spain,Other alcoholic beverages,0
1998,Africa,Niger,Wine,0.01
1982,Eastern Mediterranean,Jordan,All types,0.39
1992,Europe,Armenia,Spirits,1.23
1996,Europe,Georgia,Beer,0.18
1995,Europe,Sweden,All types,7.33
1995,Europe,Italy,Spirits,0.94
1986,Africa,Kenya,Spirits,0.85
1982,Americas,Canada,Spirits,3.91
1984,Europe,Austria,Spirits,1.9
1998,Western Pacific,Republic of Korea,Other alcoholic beverages,2.84
1982,Africa,Zimbabwe,Other alcoholic beverages,1.23
1992,Europe,Belarus,All types,8.7
1983,Western Pacific,New Zealand,Spirits,2.23
1991,Africa,Madagascar,Beer,0.17
1983,Americas,Haiti,Beer,0
1988,Europe,Luxembourg,All types,15.11
1985,Africa,Namibia,Beer,0
1994,Africa,Rwanda,Other alcoholic beverages,4.55
1996,Africa,Ghana,Spirits,0.02
1982,South-East Asia,Indonesia,Spirits,0.05
1997,Western Pacific,Solomon Islands,Beer,0.34
1997,Africa,Mauritius,Beer,2.06
1998,Americas,Saint Kitts and Nevis,Wine,0.68
1982,Europe,Slovakia,All types,15.2
1997,Europe,Austria,Other alcoholic beverages,
1994,Africa,Gambia,Spirits,0.06
1981,Africa,Mauritius,All types,2.82
1992,Western Pacific,Japan,Wine,0.14
1993,Americas,Dominican Republic,Beer,1.93
1996,Eastern Mediterranean,Syrian Arab Republic,Spirits,0.11
1986,Africa,Zambia,All types,3.07
1982,Western Pacific,China,Beer,0.08
1991,Western Pacific,Mongolia,Spirits,1.96
1996,Americas,Bahamas,Beer,1.01
1992,Eastern Mediterranean,Jordan,All types,0.11
1982,Western Pacific,Singapore,Beer,1.07
1999,Africa,Gabon,Wine,1.96
1997,Africa,Chad,Beer,0.17
1980,Americas,El Salvador,All types,2.88
1987,Eastern Mediterranean,Sudan,Spirits,0.25
1981,Europe,Finland,Other alcoholic beverages,1.98
1981,Africa,Mali,Wine,0.01
1984,Africa,Mali,Spirits,0
1999,Eastern Mediterranean,Qatar,Other alcoholic beverages,0
1993,Europe,Austria,All types,13.5
1999,Africa,Namibia,All types,3.31
1995,Europe,Croatia,Beer,4.15
1991,Western Pacific,Marshall Islands,Spirits,
1984,Africa,Swaziland,Other alcoholic beverages,4.96
1994,South-East Asia,Thailand,All types,5.08
1983,Africa,Madagascar,Other alcoholic beverages,
